OTTMUST00000140418.3;pct;1;14;2;4;0;7;24;12;17;13;15;1;4;0;0;0;4;1;0;0;1;0;0;1;2;1;0;0;1;5;0;1002;1102;1002;0.999002991026919;1003
OTTMUST00000116411.1;pct;6;2;19;22;32;7;9;21;24;57;36;7;7;11;6;3;2;0;6;11;3;12;2;3;3;5;2;9;5;4;43;2554;2711;2511;0.794871794871795;3159
OTTMUST00000050806.1;pct;9;26;21;45;24;31;69;60;63;78;85;4;13;5;5;4;10;2;4;3;5;4;5;4;9;4;9;5;4;12;301;2986;2885;2685;0.555785551645622;4831
OTTMUST00000148801.1;pct;1;10;7;12;8;6;19;12;24;22;25;2;5;1;1;1;6;0;2;2;2;0;1;3;2;3;4;0;2;2;105;1260;1355;1155;0.761873350923483;1516
OTTMUST00000142991.1;pct;1;1;6;1;6;1;8;9;4;20;11;2;2;2;1;0;1;1;1;0;1;1;1;2;0;0;2;1;0;1;125;764;729;639;0.757109004739337;844
OTTMUST00000061456.1;pct;6;5;14;5;16;3;16;15;12;36;23;2;4;9;3;0;1;0;6;3;6;4;3;5;3;3;0;2;2;1;116;1475;1444;1359;0.778350515463918;1746
OTTMUST00000132682.1;pct;9;12;16;24;20;11;24;28;34;41;35;11;10;4;6;4;6;2;9;2;5;6;4;4;3;2;6;7;3;4;484;1564;1256;1080;0.433212996389892;2493
OTTMUST00000152103.2;pct;2;4;4;0;10;4;17;20;15;42;30;6;11;4;5;1;1;0;6;5;3;2;4;1;3;1;2;0;1;1;20;1397;1577;1377;0.658221797323136;2092
OTTMUST00000067850.2;pct;4;6;6;9;12;4;19;17;13;26;30;2;2;3;1;1;2;2;2;0;1;2;2;4;4;0;2;3;2;3;431;1664;1148;1233;0.740540540540541;1665
OTTMUST00000147407.1;pct;5;3;5;1;8;4;14;21;13;29;21;1;7;1;3;1;6;1;1;0;1;2;0;2;4;1;2;2;2;3;82;844;948;762;0.47037037037037;1620
OTTMUST00000153068.1;pct;11;32;11;26;11;22;78;37;62;44;64;5;6;1;2;3;12;0;5;1;6;2;5;2;14;7;3;2;3;12;131;1895;1964;1764;0.495644844057319;3559
