OTTMUST00000085915.1;pct;8;18;21;32;20;16;22;28;30;47;34;5;11;8;6;2;2;3;6;2;3;11;4;2;9;1;6;7;3;6;498;1563;1265;1065;0.361139369277721;2949
OTTMUST00000148315.2;pct;2;25;5;19;3;26;54;33;58;40;45;3;9;4;2;1;17;0;2;4;0;2;1;0;6;1;0;0;4;8;185;1124;1121;939;0.295748031496063;3175
OTTMUST00000140478.3;pct;0;20;1;4;3;10;20;10;18;16;13;0;3;0;1;0;6;0;1;0;2;0;1;0;1;0;1;0;0;6;0;930;1130;930;0.998925886143931;931
OTTMUST00000033419.3;pct;1;21;4;14;1;23;64;26;46;24;38;0;4;0;1;0;12;0;0;0;0;0;0;0;4;1;1;0;0;9;508;1453;851.5;945;0.40575354229283;2329
OTTMUST00000041779.2;pct;4;5;13;23;15;5;16;16;23;39;44;7;5;2;5;0;3;1;4;1;0;5;3;3;2;2;4;5;1;3;288;2538;2324;2250;0.885826771653543;2540
OTTMUST00000107197.2;pct;14;70;49;110;46;68;152;157;162;196;226;19;51;8;16;5;32;7;17;14;13;14;10;4;23;7;18;11;8;27;44;10790;10918.5;10746;0.79594104140434;13501
OTTMUST00000042510.1;pct;8;0;23;2;10;1;2;11;5;15;13;5;2;2;5;1;0;0;8;1;2;5;8;2;1;3;4;6;1;0;43;1645;1802;1602;0.973268529769137;1646
OTTMUST00000150480.1;pct;6;5;6;6;7;3;4;7;8;7;11;1;4;0;1;2;2;2;0;1;4;1;1;1;2;1;5;5;1;2;425;755;480;330;0.435356200527704;758
OTTMUST00000073844.1;pct;15;27;26;26;34;26;50;43;58;92;70;16;15;14;11;5;9;1;9;7;11;7;7;5;8;3;8;6;3;3;107;3431;3492;3324;0.647322297955209;5135
OTTMUST00000139063.1;pct;5;9;18;18;23;6;26;31;37;81;95;6;8;7;7;3;7;2;7;5;3;1;7;7;5;2;3;5;3;10;23;3200;3377;3177;0.641041162227603;4956
OTTMUST00000065421.2;pct;7;34;30;38;31;26;111;95;106;133;148;1;24;11;5;5;14;4;4;2;7;3;7;7;17;5;8;5;4;10;288;7311;7103;7023;0.948797622264253;7402
OTTMUST00000009483.2;pct;0;7;1;3;1;8;22;16;14;12;17;1;2;0;0;0;4;0;0;0;0;0;0;0;1;0;1;0;0;4;6;921;1112;915;0.989189189189189;925
OTTMUST00000013412.2;pct;0;14;11;10;8;14;24;16;23;26;17;5;4;5;1;0;4;2;4;3;3;2;0;2;3;2;1;3;1;4;16;1237;1421;1221;0.687887323943662;1775
OTTMUST00000065456.1;pct;1;2;3;6;4;7;9;7;11;11;7;0;2;1;3;0;0;1;2;4;0;0;5;1;0;1;0;2;1;1;116;641;725;525;0.63329312424608;829
OTTMUST00000141812.1;pct;7;23;18;24;15;16;35;40;56;48;60;6;13;2;5;2;13;0;6;2;8;1;6;3;6;3;10;7;4;10;547;2668;2235.5;2121;0.542732855680655;3908
OTTMUST00000080515.1;pct;2;2;5;10;4;3;9;12;9;24;15;4;6;2;3;0;1;1;3;2;0;2;2;1;3;1;2;3;1;1;398;1205;755;807;0.63895486935867;1263
OTTMUST00000057147.2;pct;3;3;7;5;4;2;12;11;11;17;14;4;2;1;1;2;0;2;0;1;1;1;1;1;1;0;0;1;4;1;132;894;909;762;0.851396648044693;895
OTTMUST00000065460.2;pct;11;25;29;23;38;15;41;34;67;90;78;10;11;15;11;3;10;0;10;11;10;4;10;6;14;6;5;9;6;6;374;3863;3629;3489;0.643726937269373;5420
OTTMUST00000087247.1;pct;11;0;14;0;15;4;9;25;17;43;20;7;6;9;5;4;0;1;6;3;1;5;3;5;4;1;5;6;5;2;125;1874;1949;1749;0.856932876041156;2041
